,country,name,full_name,symbol,currency,class,market
1020,world,MSCI Kokusai Utilities,MSCI Kokusai Utilities,MIKO0UT00PUS,USD,primary_sectors,global_indices
1021,world,MSCI Kokusai Health Care,MSCI Kokusai Health Care,MIKO0HC00PUS,USD,primary_sectors,global_indices
1022,world,MSCI Kokusai Financials,MSCI Kokusai Financials,MIKO0FN00PUS,USD,primary_sectors,global_indices
1023,world,MSCI Kokusai Energy,MSCI Kokusai Energy,MIKO0EN00PUS,USD,primary_sectors,global_indices
1024,world,MSCI World Utilities,MSCI World Utilities,MIWO0UT00PUS,USD,primary_sectors,global_indices
1025,world,MSCI World Telecom,MSCI World Telecom,MIWO0TC00PUS,USD,primary_sectors,global_indices
1026,world,MSCI World Industrials,MSCI World Industrials,MIWO0IN00PUS,USD,primary_sectors,global_indices
1027,world,MSCI World Health Care,MSCI World Health Care,MIWO0HC00PUS,USD,primary_sectors,global_indices
1028,world,MSCI World Financials,MSCI World Financials,MIWO0FN00PUS,USD,primary_sectors,global_indices
1029,world,MSCI World Energy,MSCI World Energy,MIWO0EN00PUS,USD,primary_sectors,global_indices
1030,world,MSCI Kokusai Telecom,MSCI Kokusai Telecom,MIKO0TC00PUS,USD,primary_sectors,global_indices
1031,world,DJ Islamic Market Financials,Dow Jones Islamic Market Financials,DJIFIN,USD,primary_sectors,global_indices
1032,world,DJ Islamic Market Health Care,Dow Jones Islamic Market Health Care,DJIHCR,USD,primary_sectors,global_indices
1033,world,DJ Israel Select Health Care,Dow Jones Israel Select Health Care,DJILSHC,ILS,primary_sectors,global_indices
1034,world,DJ Emerging Markets Financials,Dow Jones Emerging Markets Financials,W5FIN,USD,primary_sectors,global_indices
1035,world,DJ Emerging Markets Oil & Gas,Dow Jones Emerging Markets Oil & Gas,W5ENE,USD,primary_sectors,global_indices
1036,world,DJ Emerging Markets Basic Materials,Dow Jones Emerging Markets Basic Materials,W5BSC,USD,primary_sectors,global_indices
1037,world,DJ Dev Markets ex-US Utilities,Dow Jones Developed Markets ex-US Utilities,W4UTI,USD,primary_sectors,global_indices
1038,world,DJ Developed Markets ex-US Telecom,Dow Jones Developed Markets ex-US Telecommunications,W4TLS,USD,primary_sectors,global_indices
1039,world,DJ Dev Markets ex-US Technology,Dow Jones Developed Markets ex-US Technology,W4TEC,USD,primary_sectors,global_indices
1040,world,DJ Dev Markets ex-US Health Care,Dow Jones Developed Markets ex-US Health Care,W4HCR,USD,primary_sectors,global_indices
1041,world,DJ Developed Markets ex-US Fin,Dow Jones Developed Markets ex-US Financials,W4FIN,USD,primary_sectors,global_indices
1042,world,DJ Developed Markets ex-US Oil Gas,Dow Jones Developed Markets ex-US Oil & Gas,W4ENE,USD,primary_sectors,global_indices
1043,world,DJ Emerging Markets Health Care,Dow Jones Emerging Markets Health Care,W5HCR,USD,primary_sectors,global_indices
1044,world,DJ Dev Markets exUS Basic Materials,Dow Jones Developed Markets ex-US Basic Materials,W4BSC,USD,primary_sectors,global_indices
1045,world,DJ Developed Markets Telecom,Dow Jones Developed Markets Telecommunications,W3TLS,USD,primary_sectors,global_indices
1046,world,DJ Developed Markets Technology,Dow Jones Developed Markets Technology,W3TEC,USD,primary_sectors,global_indices
1047,world,DJ Developed Markets Health Care,Dow Jones Developed Markets Health Care,W3HCR,USD,primary_sectors,global_indices
1048,world,DJ Developed Markets Financials,Dow Jones Developed Markets Financials,W3FIN,USD,primary_sectors,global_indices
1049,world,DJ Developed Markets Oil & Gas,Dow Jones Developed Markets Oil & Gas,W3ENE,USD,primary_sectors,global_indices
1050,world,DJ Global ex-U.S. Utilities,Dow Jones Global ex-US Utilities,W2UTI,USD,primary_sectors,global_indices
1051,world,DJ Global ex-US Telecom,Dow Jones Global ex-US Telecommunications,W2TLS,USD,primary_sectors,global_indices
1052,world,DJ Global ex-U.S. Technology,Dow Jones Global ex-US Technology,W2TEC,USD,primary_sectors,global_indices
1053,world,DJ Global ex-US Consumer Goods,Dow Jones Global ex-US Consumer Goods,W2NCY,USD,primary_sectors,global_indices
1054,world,DJ Developed Markets Utilities,Dow Jones Developed Markets Utilities,W3UTI,USD,primary_sectors,global_indices
1055,world,DJ Global ex-US Industrials,Dow Jones Global ex-US Industrials,W2IDU,USD,primary_sectors,global_indices
1056,world,DJ Emerging Markets Technology,Dow Jones Emerging Markets Technology,W5TEC,USD,primary_sectors,global_indices
1057,world,DJ Emerging Markets Utilities,Dow Jones Emerging Markets Utilities,W5UTI,USD,primary_sectors,global_indices
1058,world,BNY Mellon Telecommunications Classic ADR,BNY Mellon Telecommunications Classic ADR,BKCTC,USD,primary_sectors,global_indices
1059,world,BNY Mellon Basic Materials Classic ADR,BNY Mellon Basic Materials Classic ADR,BKCBM,USD,primary_sectors,global_indices
